acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.272,https://api.spotify.com/v1/audio-analysis/6t2eIONH4Sax3R21QWiKNp,0.844,337640,0.491,6t2eIONH4Sax3R21QWiKNp,0,10,0.111,-8.807,0,0.17,91.935,4,https://api.spotify.com/v1/tracks/6t2eIONH4Sax3R21QWiKNp,audio_features,spotify:track:6t2eIONH4Sax3R21QWiKNp,0.196
0.371,https://api.spotify.com/v1/audio-analysis/0dbTQYW3Ad1FTzIA9t90E8,0.856,324189,0.694,0dbTQYW3Ad1FTzIA9t90E8,0,2,0.109,-4.393,1,0.169,122.08,4,https://api.spotify.com/v1/tracks/0dbTQYW3Ad1FTzIA9t90E8,audio_features,spotify:track:0dbTQYW3Ad1FTzIA9t90E8,0.489
0.000707,https://api.spotify.com/v1/audio-analysis/0z5ZPs57J2KERwM1tBM2GF,0.365,248587,0.751,0z5ZPs57J2KERwM1tBM2GF,0,2,0.318,-5.429,1,0.304,79.119,4,https://api.spotify.com/v1/tracks/0z5ZPs57J2KERwM1tBM2GF,audio_features,spotify:track:0z5ZPs57J2KERwM1tBM2GF,0.604
0.0395,https://api.spotify.com/v1/audio-analysis/3Eq7yD58dIXqOgw1j7NFhY,0.612,223173,0.593,3Eq7yD58dIXqOgw1j7NFhY,0,1,0.484,-6.294,1,0.458,130.583,4,https://api.spotify.com/v1/tracks/3Eq7yD58dIXqOgw1j7NFhY,audio_features,spotify:track:3Eq7yD58dIXqOgw1j7NFhY,0.883
0.858,https://api.spotify.com/v1/audio-analysis/05pdoheuKPSotkjMgIVX6I,0.331,228093,0.622,05pdoheuKPSotkjMgIVX6I,0,5,0.104,-7.291,0,0.092,64.468,3,https://api.spotify.com/v1/tracks/05pdoheuKPSotkjMgIVX6I,audio_features,spotify:track:05pdoheuKPSotkjMgIVX6I,0.388
0.000402,https://api.spotify.com/v1/audio-analysis/3FFcZZq3Z3EJrhUecwcMdG,0.364,305840,0.841,3FFcZZq3Z3EJrhUecwcMdG,0,8,0.242,-4.831,1,0.119,100.14,5,https://api.spotify.com/v1/tracks/3FFcZZq3Z3EJrhUecwcMdG,audio_features,spotify:track:3FFcZZq3Z3EJrhUecwcMdG,0.0837
0.0387,https://api.spotify.com/v1/audio-analysis/6ScJMrlpiLfZUGtWp4QIVt,0.674,221840,0.695,6ScJMrlpiLfZUGtWp4QIVt,0.00202,6,0.194,-8.636,0,0.278,151.486,4,https://api.spotify.com/v1/tracks/6ScJMrlpiLfZUGtWp4QIVt,audio_features,spotify:track:6ScJMrlpiLfZUGtWp4QIVt,0.773
0.407,https://api.spotify.com/v1/audio-analysis/5BQrp63SHCVf4bzCzJePne,0.618,249450,0.71,5BQrp63SHCVf4bzCzJePne,0,8,0.183,-6.066,1,0.331,112.014,4,https://api.spotify.com/v1/tracks/5BQrp63SHCVf4bzCzJePne,audio_features,spotify:track:5BQrp63SHCVf4bzCzJePne,0.233
0.00222,https://api.spotify.com/v1/audio-analysis/6v2eEC9Nr9POe5xPUm8361,0.721,312960,0.738,6v2eEC9Nr9POe5xPUm8361,0,2,0.224,-5.682,1,0.0649,135.988,4,https://api.spotify.com/v1/tracks/6v2eEC9Nr9POe5xPUm8361,audio_features,spotify:track:6v2eEC9Nr9POe5xPUm8361,0.375
0.0435,https://api.spotify.com/v1/audio-analysis/1kMuU3TNQvHbqvXCWBodmP,0.376,271947,0.841,1kMuU3TNQvHbqvXCWBodmP,0,3,0.578,-4.348,0,0.356,76.052,4,https://api.spotify.com/v1/tracks/1kMuU3TNQvHbqvXCWBodmP,audio_features,spotify:track:1kMuU3TNQvHbqvXCWBodmP,0.463
0.0595,https://api.spotify.com/v1/audio-analysis/3wScL5W8H40zzCKN0atfBk,0.743,194184,0.87,3wScL5W8H40zzCKN0atfBk,0,1,0.299,-2.188,1,0.212,99.079,4,https://api.spotify.com/v1/tracks/3wScL5W8H40zzCKN0atfBk,audio_features,spotify:track:3wScL5W8H40zzCKN0atfBk,0.884
0.085,https://api.spotify.com/v1/audio-analysis/2DLsQuwxEdXt2yp54vw355,0.844,221000,0.592,2DLsQuwxEdXt2yp54vw355,0,5,0.0817,-5.486,1,0.199,128.033,4,https://api.spotify.com/v1/tracks/2DLsQuwxEdXt2yp54vw355,audio_features,spotify:track:2DLsQuwxEdXt2yp54vw355,0.819
0.0719,https://api.spotify.com/v1/audio-analysis/3e21cX0CVwzkQXiHz7WUQZ,0.663,229227,0.91,3e21cX0CVwzkQXiHz7WUQZ,0,1,0.244,-1.629,1,0.317,144.993,4,https://api.spotify.com/v1/tracks/3e21cX0CVwzkQXiHz7WUQZ,audio_features,spotify:track:3e21cX0CVwzkQXiHz7WUQZ,0.342
0.0143,https://api.spotify.com/v1/audio-analysis/7HaggpJGAfEgH8wyMLOIPl,0.589,286973,0.821,7HaggpJGAfEgH8wyMLOIPl,0,11,0.112,-4.473,1,0.111,77.472,4,https://api.spotify.com/v1/tracks/7HaggpJGAfEgH8wyMLOIPl,audio_features,spotify:track:7HaggpJGAfEgH8wyMLOIPl,0.424
0.000177,https://api.spotify.com/v1/audio-analysis/4aX4Oycsk1fhHIee1zqsDe,0.644,240307,0.661,4aX4Oycsk1fhHIee1zqsDe,5.14e-06,11,0.108,-6.093,1,0.0418,154.001,4,https://api.spotify.com/v1/tracks/4aX4Oycsk1fhHIee1zqsDe,audio_features,spotify:track:4aX4Oycsk1fhHIee1zqsDe,0.272
,,,,,,,,,,,,,,,,,
0.033,https://api.spotify.com/v1/audio-analysis/0Y7di9ZCmB6Elad5WISaPc,0.879,189909,0.662,0Y7di9ZCmB6Elad5WISaPc,0,2,0.716,-6.162,1,0.309,117.975,4,https://api.spotify.com/v1/tracks/0Y7di9ZCmB6Elad5WISaPc,audio_features,spotify:track:0Y7di9ZCmB6Elad5WISaPc,0.724
0.0444,https://api.spotify.com/v1/audio-analysis/2tQM1BUrXp2kqOM6mN11TC,0.485,316267,0.71,2tQM1BUrXp2kqOM6mN11TC,0,7,0.35,-6.288,1,0.364,170.942,4,https://api.spotify.com/v1/tracks/2tQM1BUrXp2kqOM6mN11TC,audio_features,spotify:track:2tQM1BUrXp2kqOM6mN11TC,0.473
0.00124,https://api.spotify.com/v1/audio-analysis/1cji6jI9LQ5zaStXrydl7F,0.749,246560,0.643,1cji6jI9LQ5zaStXrydl7F,0,1,0.111,-5.537,1,0.257,74.996,4,https://api.spotify.com/v1/tracks/1cji6jI9LQ5zaStXrydl7F,audio_features,spotify:track:1cji6jI9LQ5zaStXrydl7F,0.472
0.00934,https://api.spotify.com/v1/audio-analysis/0RC6NdZjgVuwbvDuCs70NJ,0.578,302987,0.709,0RC6NdZjgVuwbvDuCs70NJ,2.65e-06,1,0.27,-7.91,0,0.175,127.946,4,https://api.spotify.com/v1/tracks/0RC6NdZjgVuwbvDuCs70NJ,audio_features,spotify:track:0RC6NdZjgVuwbvDuCs70NJ,0.458
0.056,https://api.spotify.com/v1/audio-analysis/4P7VFiaZb3xrXoqGwZXC3J,0.829,299333,0.428,4P7VFiaZb3xrXoqGwZXC3J,0.00413,0,0.137,-9.469,1,0.0831,148.075,4,https://api.spotify.com/v1/tracks/4P7VFiaZb3xrXoqGwZXC3J,audio_features,spotify:track:4P7VFiaZb3xrXoqGwZXC3J,0.45
0.041,https://api.spotify.com/v1/audio-analysis/0CBQ0m3mufWH75LTYB3s6h,0.902,186872,0.819,0CBQ0m3mufWH75LTYB3s6h,0,1,0.106,-3.321,1,0.316,89.0,4,https://api.spotify.com/v1/tracks/0CBQ0m3mufWH75LTYB3s6h,audio_features,spotify:track:0CBQ0m3mufWH75LTYB3s6h,0.745
0.125,https://api.spotify.com/v1/audio-analysis/5cGpjfgAvidLy6znwkCxkP,0.58,193243,0.577,5cGpjfgAvidLy6znwkCxkP,0,2,0.086,-5.997,0,0.2,99.283,5,https://api.spotify.com/v1/tracks/5cGpjfgAvidLy6znwkCxkP,audio_features,spotify:track:5cGpjfgAvidLy6znwkCxkP,0.153
0.172,https://api.spotify.com/v1/audio-analysis/28J1VeQTm2z2HC7u2qJPup,0.57,306662,0.948,28J1VeQTm2z2HC7u2qJPup,0,6,0.312,-1.222,0,0.31,79.296,4,https://api.spotify.com/v1/tracks/28J1VeQTm2z2HC7u2qJPup,audio_features,spotify:track:28J1VeQTm2z2HC7u2qJPup,0.498
0.0118,https://api.spotify.com/v1/audio-analysis/6lVJb47gQEh3PV585qgRoy,0.797,306173,0.521,6lVJb47gQEh3PV585qgRoy,0,1,0.563,-8.21,1,0.204,103.988,4,https://api.spotify.com/v1/tracks/6lVJb47gQEh3PV585qgRoy,audio_features,spotify:track:6lVJb47gQEh3PV585qgRoy,0.391
